Date,Visitor/Neutral,Home/Neutral
2014-01-10,Houston Rockets,Atlanta Hawks
2014-01-10,Miami Heat,Brooklyn Nets
2014-01-10,Boston Celtics,Golden State Warriors
2014-01-10,Washington Wizards,Indiana Pacers
2014-01-10,Los Angeles Lakers,Los Angeles Clippers
2014-01-10,Phoenix Suns,Memphis Grizzlies
2014-01-10,Chicago Bulls,Milwaukee Bucks
2014-01-10,Charlotte Bobcats,Minnesota Timberwolves
2014-01-10,Dallas Mavericks,New Orleans Pelicans
2014-01-10,Detroit Pistons,Philadelphia 76ers
2014-01-10,Orlando Magic,Sacramento Kings
2014-01-10,Cleveland Cavaliers,Utah Jazz
2014-01-11,Charlotte Bobcats,Chicago Bulls
2014-01-11,New Orleans Pelicans,Dallas Mavericks
2014-01-11,Orlando Magic,Denver Nuggets
2014-01-11,Phoenix Suns,Detroit Pistons
2014-01-11,Milwaukee Bucks,Oklahoma City Thunder
2014-01-11,New York Knicks,Philadelphia 76ers
2014-01-11,Boston Celtics,Portland Trail Blazers
2014-01-11,Brooklyn Nets,Toronto Raptors
2014-01-11,Houston Rockets,Washington Wizards
2014-01-12,Atlanta Hawks,Memphis Grizzlies
2014-01-12,Cleveland Cavaliers,Sacramento Kings
2014-01-12,Minnesota Timberwolves,San Antonio Spurs
2014-01-13,Houston Rockets,Boston Celtics
2014-01-13,Washington Wizards,Chicago Bulls
2014-01-13,Orlando Magic,Dallas Mavericks
2014-01-13,San Antonio Spurs,New Orleans Pelicans
2014-01-13,Phoenix Suns,New York Knicks
2014-01-13,Milwaukee Bucks,Toronto Raptors
2014-01-13,Denver Nuggets,Utah Jazz
2014-01-14,New York Knicks,Charlotte Bobcats
2014-01-14,Sacramento Kings,Indiana Pacers
2014-01-14,Cleveland Cavaliers,Los Angeles Lakers
2014-01-14,Oklahoma City Thunder,Memphis Grizzlies
2014-01-15,Toronto Raptors,Boston Celtics
2014-01-15,Denver Nuggets,Golden State Warriors
2014-01-15,Dallas Mavericks,Los Angeles Clippers
2014-01-15,Memphis Grizzlies,Milwaukee Bucks
2014-01-15,Sacramento Kings,Minnesota Timberwolves
2014-01-15,Houston Rockets,New Orleans Pelicans
2014-01-15,Chicago Bulls,Orlando Magic
2014-01-15,Charlotte Bobcats,Philadelphia 76ers
2014-01-15,Los Angeles Lakers,Phoenix Suns
2014-01-15,Cleveland Cavaliers,Portland Trail Blazers
2014-01-15,Utah Jazz,San Antonio Spurs
2014-01-15,Miami Heat,Washington Wizards
2014-01-16,Brooklyn Nets,Atlanta Hawks
2014-01-16,Oklahoma City Thunder,Houston Rockets
2014-01-16,New York Knicks,Indiana Pacers
2014-01-17,Los Angeles Lakers,Boston Celtics
2014-01-17,Cleveland Cavaliers,Denver Nuggets
2014-01-17,Utah Jazz,Detroit Pistons
2014-01-17,Sacramento Kings,Memphis Grizzlies
2014-01-17,Los Angeles Clippers,New York Knicks
2014-01-17,Golden State Warriors,Oklahoma City Thunder
2014-01-17,Charlotte Bobcats,Orlando Magic
2014-01-17,Miami Heat,Philadelphia 76ers
2014-01-17,Dallas Mavericks,Phoenix Suns
2014-01-17,Portland Trail Blazers,San Antonio Spurs
2014-01-17,Minnesota Timberwolves,Toronto Raptors
2014-01-17,Chicago Bulls,Washington Wizards
2014-01-18,Miami Heat,Charlotte Bobcats
2014-01-18,Philadelphia 76ers,Chicago Bulls
2014-01-18,Portland Trail Blazers,Dallas Mavericks
2014-01-18,Milwaukee Bucks,Houston Rockets
2014-01-18,Los Angeles Clippers,Indiana Pacers
2014-01-18,Utah Jazz,Minnesota Timberwolves
2014-01-18,Golden State Warriors,New Orleans Pelicans
2014-01-18,Detroit Pistons,Washington Wizards
2014-01-19,Sacramento Kings,Oklahoma City Thunder
2014-01-19,Boston Celtics,Orlando Magic
2014-01-19,Denver Nuggets,Phoenix Suns
2014-01-19,Milwaukee Bucks,San Antonio Spurs
2014-01-19,Los Angeles Lakers,Toronto Raptors
2014-01-20,Miami Heat,Atlanta Hawks
2014-01-20,Toronto Raptors,Charlotte Bobcats
2014-01-20,Los Angeles Lakers,Chicago Bulls
2014-01-20,Dallas Mavericks,Cleveland Cavaliers
2014-01-20,Los Angeles Clippers,Detroit Pistons
2014-01-20,Indiana Pacers,Golden State Warriors
2014-01-20,Portland Trail Blazers,Houston Rockets
2014-01-20,New Orleans Pelicans,Memphis Grizzlies
2014-01-20,Brooklyn Nets,New York Knicks
2014-01-20,Philadelphia 76ers,Washington Wizards
2014-01-21,Orlando Magic,Brooklyn Nets
2014-01-21,Boston Celtics,Miami Heat
2014-01-21,Sacramento Kings,New Orleans Pelicans
2014-01-21,Portland Trail Blazers,Oklahoma City Thunder
2014-01-21,Minnesota Timberwolves,Utah Jazz
2014-01-22,Los Angeles Clippers,Charlotte Bobcats
2014-01-22,Chicago Bulls,Cleveland Cavaliers
2014-01-22,Sacramento Kings,Houston Rockets
2014-01-22,Detroit Pistons,Milwaukee Bucks
2014-01-22,Philadelphia 76ers,New York Knicks
2014-01-22,Atlanta Hawks,Orlando Magic
2014-01-22,Indiana Pacers,Phoenix Suns
2014-01-22,Oklahoma City Thunder,San Antonio Spurs
2014-01-22,Dallas Mavericks,Toronto Raptors
2014-01-22,Boston Celtics,Washington Wizards
2014-01-23,Los Angeles Lakers,Miami Heat
2014-01-23,Denver Nuggets,Portland Trail Blazers
2014-01-24,San Antonio Spurs,Atlanta Hawks
2014-01-24,Oklahoma City Thunder,Boston Celtics
2014-01-24,Dallas Mavericks,Brooklyn Nets
2014-01-24,Los Angeles Clippers,Chicago Bulls
2014-01-24,Milwaukee Bucks,Cleveland Cavaliers
2014-01-24,New Orleans Pelicans,Detroit Pistons
2014-01-24,Minnesota Timberwolves,Golden State Warriors
2014-01-24,Memphis Grizzlies,Houston Rockets
2014-01-24,Charlotte Bobcats,New York Knicks
2014-01-24,Los Angeles Lakers,Orlando Magic
2014-01-24,Toronto Raptors,Philadelphia 76ers
2014-01-24,Washington Wizards,Phoenix Suns
2014-01-24,Indiana Pacers,Sacramento Kings
2014-01-25,Chicago Bulls,Charlotte Bobcats
2014-01-25,Indiana Pacers,Denver Nuggets
2014-01-25,Houston Rockets,Memphis Grizzlies
2014-01-25,Atlanta Hawks,Milwaukee Bucks
2014-01-25,Oklahoma City Thunder,Philadelphia 76ers
2014-01-25,Minnesota Timberwolves,Portland Trail Blazers
2014-01-25,Los Angeles Clippers,Toronto Raptors
2014-01-25,Washington Wizards,Utah Jazz
2014-01-26,Brooklyn Nets,Boston Celtics
2014-01-26,Phoenix Suns,Cleveland Cavaliers
2014-01-26,Detroit Pistons,Dallas Mavericks
2014-01-26,Portland Trail Blazers,Golden State Warriors
2014-01-26,San Antonio Spurs,Miami Heat
2014-01-26,Orlando Magic,New Orleans Pelicans
2014-01-26,Los Angeles Lakers,New York Knicks
2014-01-26,Denver Nuggets,Sacramento Kings
2014-01-27,Toronto Raptors,Brooklyn Nets
2014-01-27,Minnesota Timberwolves,Chicago Bulls
2014-01-27,Los Angeles Clippers,Milwaukee Bucks
2014-01-27,Atlanta Hawks,Oklahoma City Thunder
2014-01-27,Phoenix Suns,Philadelphia 76ers
2014-01-27,Sacramento Kings,Utah Jazz
2014-01-28,New Orleans Pelicans,Cleveland Cavaliers
2014-01-28,Orlando Magic,Detroit Pistons
2014-01-28,Washington Wizards,Golden State Warriors
2014-01-28,San Antonio Spurs,Houston Rockets
2014-01-28,Indiana Pacers,Los Angeles Lakers
2014-01-28,Boston Celtics,New York Knicks
2014-01-28,Memphis Grizzlies,Portland Trail Blazers
2014-01-29,Philadelphia 76ers,Boston Celtics
2014-01-29,Houston Rockets,Dallas Mavericks
2014-01-29,Charlotte Bobcats,Denver Nuggets
2014-01-29,Washington Wizards,Los Angeles Clippers
2014-01-29,Oklahoma City Thunder,Miami Heat
2014-01-29,Phoenix Suns,Milwaukee Bucks
2014-01-29,New Orleans Pelicans,Minnesota Timberwolves
2014-01-29,Memphis Grizzlies,Sacramento Kings
2014-01-29,Chicago Bulls,San Antonio Spurs
2014-01-29,Orlando Magic,Toronto Raptors
2014-01-30,Los Angeles Clippers,Golden State Warriors
2014-01-30,Phoenix Suns,Indiana Pacers
2014-01-30,Cleveland Cavaliers,New York Knicks
2014-01-31,Oklahoma City Thunder,Brooklyn Nets
2014-01-31,Sacramento Kings,Dallas Mavericks
2014-01-31,Toronto Raptors,Denver Nuggets
2014-01-31,Charlotte Bobcats,Los Angeles Lakers
2014-01-31,Memphis Grizzlies,Minnesota Timberwolves
2014-01-31,Milwaukee Bucks,Orlando Magic
2014-01-31,Atlanta Hawks,Philadelphia 76ers
2014-01-31,Golden State Warriors,Utah Jazz
2014-02-01,Minnesota Timberwolves,Atlanta Hawks
2014-02-01,Philadelphia 76ers,Detroit Pistons
2014-02-01,Cleveland Cavaliers,Houston Rockets
2014-02-01,Brooklyn Nets,Indiana Pacers
2014-02-01,Utah Jazz,Los Angeles Clippers
2014-02-01,Milwaukee Bucks,Memphis Grizzlies
2014-02-01,Chicago Bulls,New Orleans Pelicans
2014-02-01,Miami Heat,New York Knicks
2014-02-01,Charlotte Bobcats,Phoenix Suns
2014-02-01,Toronto Raptors,Portland Trail Blazers
2014-02-01,Sacramento Kings,San Antonio Spurs
2014-02-01,Oklahoma City Thunder,Washington Wizards
2014-02-02,Orlando Magic,Boston Celtics
2014-02-03,Philadelphia 76ers,Brooklyn Nets
2014-02-03,Cleveland Cavaliers,Dallas Mavericks
2014-02-03,Los Angeles Clippers,Denver Nuggets
2014-02-03,Orlando Magic,Indiana Pacers
2014-02-03,Detroit Pistons,Miami Heat
2014-02-03,New York Knicks,Milwaukee Bucks
2014-02-03,San Antonio Spurs,New Orleans Pelicans
2014-02-03,Memphis Grizzlies,Oklahoma City Thunder
2014-02-03,Chicago Bulls,Sacramento Kings
2014-02-03,Toronto Raptors,Utah Jazz
2014-02-03,Portland Trail Blazers,Washington Wizards
2014-02-04,Indiana Pacers,Atlanta Hawks
2014-02-04,Charlotte Bobcats,Golden State Warriors
2014-02-04,Los Angeles Lakers,Minnesota Timberwolves
2014-02-04,Chicago Bulls,Phoenix Suns
2014-02-05,Los Angeles Lakers,Cleveland Cavaliers
2014-02-05,Milwaukee Bucks,Denver Nuggets
2014-02-05,Phoenix Suns,Houston Rockets
2014-02-05,Miami Heat,Los Angeles Clippers
2014-02-05,Dallas Mavericks,Memphis Grizzlies
2014-02-05,Atlanta Hawks,New Orleans Pelicans
2014-02-05,Portland Trail Blazers,New York Knicks
2014-02-05,Minnesota Timberwolves,Oklahoma City Thunder
2014-02-05,Detroit Pistons,Orlando Magic
2014-02-05,Boston Celtics,Philadelphia 76ers
2014-02-05,Toronto Raptors,Sacramento Kings
2014-02-05,San Antonio Spurs,Washington Wizards
2014-02-06,San Antonio Spurs,Brooklyn Nets
2014-02-06,Chicago Bulls,Golden State Warriors
2014-02-07,Sacramento Kings,Boston Celtics
2014-02-07,Utah Jazz,Dallas Mavericks
2014-02-07,Brooklyn Nets,Detroit Pistons
2014-02-07,Portland Trail Blazers,Indiana Pacers
2014-02-07,Toronto Raptors,Los Angeles Clippers
2014-02-07,Minnesota Timberwolves,New Orleans Pelicans
2014-02-07,Denver Nuggets,New York Knicks
2014-02-07,Oklahoma City Thunder,Orlando Magic
2014-02-07,Los Angeles Lakers,Philadelphia 76ers
2014-02-07,Cleveland Cavaliers,Washington Wizards
2014-02-08,Memphis Grizzlies,Atlanta Hawks
2014-02-08,San Antonio Spurs,Charlotte Bobcats
2014-02-08,Denver Nuggets,Detroit Pistons
2014-02-08,Houston Rockets,Milwaukee Bucks
2014-02-08,Portland Trail Blazers,Minnesota Timberwolves
2014-02-08,Golden State Warriors,Phoenix Suns
2014-02-08,Miami Heat,Utah Jazz
2014-02-09,Dallas Mavericks,Boston Celtics
2014-02-09,New Orleans Pelicans,Brooklyn Nets
2014-02-09,Memphis Grizzlies,Cleveland Cavaliers
2014-02-09,Philadelphia 76ers,Los Angeles Clippers
2014-02-09,Chicago Bulls,Los Angeles Lakers
2014-02-09,New York Knicks,Oklahoma City Thunder
2014-02-09,Indiana Pacers,Orlando Magic
2014-02-09,Sacramento Kings,Washington Wizards
2014-02-10,San Antonio Spurs,Detroit Pistons
2014-02-10,Philadelphia 76ers,Golden State Warriors
2014-02-10,Denver Nuggets,Indiana Pacers
2014-02-10,Boston Celtics,Milwaukee Bucks
2014-02-10,Houston Rockets,Minnesota Timberwolves
2014-02-10,New Orleans Pelicans,Toronto Raptors
2014-02-11,Dallas Mavericks,Charlotte Bobcats
2014-02-11,Atlanta Hawks,Chicago Bulls
2014-02-11,Sacramento Kings,Cleveland Cavaliers
2014-02-11,Utah Jazz,Los Angeles Lakers
2014-02-11,Washington Wizards,Memphis Grizzlies
2014-02-11,Miami Heat,Phoenix Suns
2014-02-11,Oklahoma City Thunder,Portland Trail Blazers
2014-02-12,San Antonio Spurs,Boston Celtics
2014-02-12,Charlotte Bobcats,Brooklyn Nets
2014-02-12,Cleveland Cavaliers,Detroit Pistons
2014-02-12,Miami Heat,Golden State Warriors
2014-02-12,Washington Wizards,Houston Rockets
2014-02-12,Dallas Mavericks,Indiana Pacers
2014-02-12,Portland Trail Blazers,Los Angeles Clippers
2014-02-12,New Orleans Pelicans,Milwaukee Bucks
2014-02-12,Denver Nuggets,Minnesota Timberwolves
2014-02-12,Sacramento Kings,New York Knicks
2014-02-12,Memphis Grizzlies,Orlando Magic
2014-02-12,Atlanta Hawks,Toronto Raptors
2014-02-12,Philadelphia 76ers,Utah Jazz
2014-02-13,Brooklyn Nets,Chicago Bulls
2014-02-13,Oklahoma City Thunder,Los Angeles Lakers
2014-02-18,Miami Heat,Dallas Mavericks
2014-02-18,Phoenix Suns,Denver Nuggets
2014-02-18,Charlotte Bobcats,Detroit Pistons
2014-02-18,Atlanta Hawks,Indiana Pacers
2014-02-18,San Antonio Spurs,Los Angeles Clippers
2014-02-18,New York Knicks,Memphis Grizzlies
2014-02-18,Orlando Magic,Milwaukee Bucks
2014-02-18,Cleveland Cavaliers,Philadelphia 76ers
2014-02-18,Toronto Raptors,Washington Wizards
2014-02-19,Washington Wizards,Atlanta Hawks
2014-02-19,Detroit Pistons,Charlotte Bobcats
2014-02-19,Orlando Magic,Cleveland Cavaliers
2014-02-19,Houston Rockets,Los Angeles Lakers
2014-02-19,Indiana Pacers,Minnesota Timberwolves
2014-02-19,New York Knicks,New Orleans Pelicans
2014-02-19,Boston Celtics,Phoenix Suns
2014-02-19,San Antonio Spurs,Portland Trail Blazers
2014-02-19,Golden State Warriors,Sacramento Kings
2014-02-19,Chicago Bulls,Toronto Raptors
2014-02-19,Brooklyn Nets,Utah Jazz
2014-02-20,Houston Rockets,Golden State Warriors
2014-02-20,Denver Nuggets,Milwaukee Bucks
2014-02-20,Miami Heat,Oklahoma City Thunder
2014-02-21,New Orleans Pelicans,Charlotte Bobcats
2014-02-21,Denver Nuggets,Chicago Bulls
2014-02-21,Atlanta Hawks,Detroit Pistons
2014-02-21,Boston Celtics,Los Angeles Lakers
2014-02-21,Los Angeles Clippers,Memphis Grizzlies
2014-02-21,New York Knicks,Orlando Magic
2014-02-21,Dallas Mavericks,Philadelphia 76ers
2014-02-21,San Antonio Spurs,Phoenix Suns
2014-02-21,Utah Jazz,Portland Trail Blazers
2014-02-21,Cleveland Cavaliers,Toronto Raptors
2014-02-22,New York Knicks,Atlanta Hawks
2014-02-22,Memphis Grizzlies,Charlotte Bobcats
2014-02-22,Dallas Mavericks,Detroit Pistons
2014-02-22,Brooklyn Nets,Golden State Warriors
2014-02-22,Indiana Pacers,Milwaukee Bucks
2014-02-22,Boston Celtics,Sacramento Kings
2014-02-22,Minnesota Timberwolves,Utah Jazz
2014-02-22,New Orleans Pelicans,Washington Wizards
2014-02-23,Washington Wizards,Cleveland Cavaliers
2014-02-23,Sacramento Kings,Denver Nuggets
2014-02-23,Brooklyn Nets,Los Angeles Lakers
2014-02-23,Chicago Bulls,Miami Heat
2014-02-23,Los Angeles Clippers,Oklahoma City Thunder
2014-02-23,Houston Rockets,Phoenix Suns
2014-02-23,Minnesota Timberwolves,Portland Trail Blazers
2014-02-23,Orlando Magic,Toronto Raptors
2014-02-24,Golden State Warriors,Detroit Pistons
2014-02-24,Los Angeles Clippers,New Orleans Pelicans
2014-02-24,Dallas Mavericks,New York Knicks
2014-02-24,Milwaukee Bucks,Philadelphia 76ers
2014-02-24,Boston Celtics,Utah Jazz
2014-02-25,Chicago Bulls,Atlanta Hawks
2014-02-25,Toronto Raptors,Cleveland Cavaliers
2014-02-25,Portland Trail Blazers,Denver Nuggets
2014-02-25,Los Angeles Lakers,Indiana Pacers
2014-02-25,Minnesota Timberwolves,Phoenix Suns
2014-02-25,Houston Rockets,Sacramento Kings
2014-02-25,Orlando Magic,Washington Wizards
2014-02-26,Atlanta Hawks,Boston Celtics
2014-02-26,Golden State Warriors,Chicago Bulls
2014-02-26,New Orleans Pelicans,Dallas Mavericks
2014-02-26,Houston Rockets,Los Angeles Clippers
2014-02-26,Los Angeles Lakers,Memphis Grizzlies
2014-02-26,Cleveland Cavaliers,Oklahoma City Thunder
2014-02-26,Orlando Magic,Philadelphia 76ers
2014-02-26,Brooklyn Nets,Portland Trail Blazers
2014-02-26,Detroit Pistons,San Antonio Spurs
2014-02-26,Phoenix Suns,Utah Jazz
2014-02-27,Brooklyn Nets,Denver Nuggets
2014-02-27,Milwaukee Bucks,Indiana Pacers
2014-02-27,New York Knicks,Miami Heat
2014-02-27,Washington Wizards,Toronto Raptors
2014-02-28,Utah Jazz,Cleveland Cavaliers
2014-02-28,Chicago Bulls,Dallas Mavericks
2014-02-28,Sacramento Kings,Los Angeles Lakers
2014-02-28,Golden State Warriors,New York Knicks
2014-02-28,Memphis Grizzlies,Oklahoma City Thunder
2014-02-28,New Orleans Pelicans,Phoenix Suns
2014-02-28,Charlotte Bobcats,San Antonio Spurs
2014-03-01,Indiana Pacers,Boston Celtics
2014-03-01,Detroit Pistons,Houston Rockets
2014-03-01,New Orleans Pelicans,Los Angeles Clippers
2014-03-01,Cleveland Cavaliers,Memphis Grizzlies
2014-03-01,Orlando Magic,Miami Heat
2014-03-01,Brooklyn Nets,Milwaukee Bucks
2014-03-01,Washington Wizards,Philadelphia 76ers
2014-03-01,Denver Nuggets,Portland Trail Blazers
2014-03-01,Minnesota Timberwolves,Sacramento Kings
2014-03-02,New York Knicks,Chicago Bulls
2014-03-02,Utah Jazz,Indiana Pacers
2014-03-02,Charlotte Bobcats,Oklahoma City Thunder
2014-03-02,Philadelphia 76ers,Orlando Magic
2014-03-02,Atlanta Hawks,Phoenix Suns
2014-03-02,Dallas Mavericks,San Antonio Spurs
2014-03-02,Golden State Warriors,Toronto Raptors
2014-03-03,Chicago Bulls,Brooklyn Nets
2014-03-03,Minnesota Timberwolves,Denver Nuggets
2014-03-03,New York Knicks,Detroit Pistons
2014-03-03,Charlotte Bobcats,Miami Heat
2014-03-03,Utah Jazz,Milwaukee Bucks
2014-03-03,Los Angeles Lakers,Portland Trail Blazers
2014-03-03,New Orleans Pelicans,Sacramento Kings
2014-03-03,Memphis Grizzlies,Washington Wizards
2014-03-04,San Antonio Spurs,Cleveland Cavaliers
2014-03-04,Miami Heat,Houston Rockets
2014-03-04,Golden State Warriors,Indiana Pacers
2014-03-04,New Orleans Pelicans,Los Angeles Lakers
2014-03-04,Philadelphia 76ers,Oklahoma City Thunder
2014-03-04,Los Angeles Clippers,Phoenix Suns
2014-03-05,Golden State Warriors,Boston Celtics
2014-03-05,Memphis Grizzlies,Brooklyn Nets
2014-03-05,Indiana Pacers,Charlotte Bobcats
2014-03-05,Dallas Mavericks,Denver Nuggets
2014-03-05,Chicago Bulls,Detroit Pistons
2014-03-05,Sacramento Kings,Milwaukee Bucks
2014-03-05,New York Knicks,Minnesota Timberwolves
2014-03-05,Houston Rockets,Orlando Magic
2014-03-05,Atlanta Hawks,Portland Trail Blazers
2014-03-05,Utah Jazz,Washington Wizards
2014-03-06,Los Angeles Clippers,Los Angeles Lakers
2014-03-06,Oklahoma City Thunder,Phoenix Suns
2014-03-06,Miami Heat,San Antonio Spurs
2014-03-07,Brooklyn Nets,Boston Celtics
2014-03-07,Cleveland Cavaliers,Charlotte Bobcats
2014-03-07,Memphis Grizzlies,Chicago Bulls
2014-03-07,Portland Trail Blazers,Dallas Mavericks
2014-03-07,Los Angeles Lakers,Denver Nuggets
2014-03-07,Atlanta Hawks,Golden State Warriors
2014-03-07,Indiana Pacers,Houston Rockets
2014-03-07,Detroit Pistons,Minnesota Timberwolves
2014-03-07,Milwaukee Bucks,New Orleans Pelicans
2014-03-07,Utah Jazz,New York Knicks
2014-03-07,Sacramento Kings,Toronto Raptors
2014-03-08,New York Knicks,Cleveland Cavaliers
2014-03-08,Atlanta Hawks,Los Angeles Clippers
2014-03-08,Charlotte Bobcats,Memphis Grizzlies
2014-03-08,Washington Wizards,Milwaukee Bucks
2014-03-08,Utah Jazz,Philadelphia 76ers
2014-03-08,Orlando Magic,San Antonio Spurs
2014-03-09,Detroit Pistons,Boston Celtics
2014-03-09,Sacramento Kings,Brooklyn Nets
2014-03-09,Miami Heat,Chicago Bulls
2014-03-09,Indiana Pacers,Dallas Mavericks
2014-03-09,Phoenix Suns,Golden State Warriors
2014-03-09,Portland Trail Blazers,Houston Rockets
2014-03-09,Oklahoma City Thunder,Los Angeles Lakers
2014-03-09,Toronto Raptors,Minnesota Timberwolves
2014-03-09,Denver Nuggets,New Orleans Pelicans
2014-03-10,Toronto Raptors,Brooklyn Nets
2014-03-10,Denver Nuggets,Charlotte Bobcats
2014-03-10,Phoenix Suns,Los Angeles Clippers
2014-03-10,Washington Wizards,Miami Heat
2014-03-10,Orlando Magic,Milwaukee Bucks
2014-03-10,Philadelphia 76ers,New York Knicks
2014-03-10,Atlanta Hawks,Utah Jazz
2014-03-11,San Antonio Spurs,Chicago Bulls
2014-03-11,Sacramento Kings,Detroit Pistons
2014-03-11,Dallas Mavericks,Golden State Warriors
2014-03-11,Boston Celtics,Indiana Pacers
2014-03-11,Portland Trail Blazers,Memphis Grizzlies
2014-03-11,Milwaukee Bucks,Minnesota Timberwolves
2014-03-11,Houston Rockets,Oklahoma City Thunder
2014-03-12,New York Knicks,Boston Celtics
2014-03-12,Golden State Warriors,Los Angeles Clippers
2014-03-12,Brooklyn Nets,Miami Heat
2014-03-12,Memphis Grizzlies,New Orleans Pelicans
2014-03-12,Denver Nuggets,Orlando Magic
2014-03-12,Sacramento Kings,Philadelphia 76ers
2014-03-12,Cleveland Cavaliers,Phoenix Suns
2014-03-12,Portland Trail Blazers,San Antonio Spurs
2014-03-12,Detroit Pistons,Toronto Raptors
2014-03-12,Dallas Mavericks,Utah Jazz
2014-03-12,Charlotte Bobcats,Washington Wizards
2014-03-13,Milwaukee Bucks,Atlanta Hawks
2014-03-13,Houston Rockets,Chicago Bulls
2014-03-13,Los Angeles Lakers,Oklahoma City Thunder
2014-03-14,Phoenix Suns,Boston Celtics
2014-03-14,Minnesota Timberwolves,Charlotte Bobcats
2014-03-14,Cleveland Cavaliers,Golden State Warriors
2014-03-14,Denver Nuggets,Miami Heat
2014-03-14,Portland Trail Blazers,New Orleans Pelicans
2014-03-14,Washington Wizards,Orlando Magic
2014-03-14,Indiana Pacers,Philadelphia 76ers
2014-03-14,Los Angeles Lakers,San Antonio Spurs
2014-03-14,Memphis Grizzlies,Toronto Raptors
2014-03-14,Los Angeles Clippers,Utah Jazz
2014-03-15,Denver Nuggets,Atlanta Hawks
2014-03-15,Sacramento Kings,Chicago Bulls
2014-03-15,Indiana Pacers,Detroit Pistons
2014-03-15,Milwaukee Bucks,New York Knicks
2014-03-15,Memphis Grizzlies,Philadelphia 76ers
2014-03-15,Brooklyn Nets,Washington Wizards
2014-03-16,Cleveland Cavaliers,Los Angeles Clippers
2014-03-16,Houston Rockets,Miami Heat
2014-03-16,Charlotte Bobcats,Milwaukee Bucks
2014-03-16,Sacramento Kings,Minnesota Timberwolves
2014-03-16,Boston Celtics,New Orleans Pelicans
2014-03-16,Dallas Mavericks,Oklahoma City Thunder
2014-03-16,Golden State Warriors,Portland Trail Blazers
2014-03-16,Utah Jazz,San Antonio Spurs
2014-03-16,Phoenix Suns,Toronto Raptors
2014-03-17,Phoenix Suns,Brooklyn Nets
2014-03-17,Atlanta Hawks,Charlotte Bobcats
2014-03-17,Oklahoma City Thunder,Chicago Bulls
2014-03-17,Boston Celtics,Dallas Mavericks
2014-03-17,Los Angeles Clippers,Denver Nuggets
2014-03-17,Utah Jazz,Houston Rockets
2014-03-17,Philadelphia 76ers,Indiana Pacers
2014-03-18,Toronto Raptors,Atlanta Hawks
2014-03-18,Miami Heat,Cleveland Cavaliers
2014-03-18,Orlando Magic,Golden State Warriors
2014-03-18,Milwaukee Bucks,Portland Trail Blazers
2014-03-18,Washington Wizards,Sacramento Kings
2014-03-19,Miami Heat,Boston Celtics
2014-03-19,Charlotte Bobcats,Brooklyn Nets
2014-03-19,Minnesota Timberwolves,Dallas Mavericks
2014-03-19,Detroit Pistons,Denver Nuggets
2014-03-19,San Antonio Spurs,Los Angeles Lakers
2014-03-19,Utah Jazz,Memphis Grizzlies
2014-03-19,Toronto Raptors,New Orleans Pelicans
2014-03-19,Indiana Pacers,New York Knicks
2014-03-19,Chicago Bulls,Philadelphia 76ers
2014-03-19,Orlando Magic,Phoenix Suns
2014-03-20,Oklahoma City Thunder,Cleveland Cavaliers
2014-03-20,Milwaukee Bucks,Golden State Warriors
2014-03-20,Minnesota Timberwolves,Houston Rockets
2014-03-20,Washington Wizards,Portland Trail Blazers
2014-03-21,New Orleans Pelicans,Atlanta Hawks
2014-03-21,Boston Celtics,Brooklyn Nets
2014-03-21,Denver Nuggets,Dallas Mavericks
2014-03-21,Chicago Bulls,Indiana Pacers
2014-03-21,Washington Wizards,Los Angeles Lakers
2014-03-21,Memphis Grizzlies,Miami Heat
2014-03-21,New York Knicks,Philadelphia 76ers
2014-03-21,Detroit Pistons,Phoenix Suns
2014-03-21,San Antonio Spurs,Sacramento Kings
2014-03-21,Oklahoma City Thunder,Toronto Raptors
2014-03-22,Portland Trail Blazers,Charlotte Bobcats
2014-03-22,Philadelphia 76ers,Chicago Bulls
2014-03-22,Houston Rockets,Cleveland Cavaliers
2014-03-22,San Antonio Spurs,Golden State Warriors
2014-03-22,Detroit Pistons,Los Angeles Clippers
2014-03-22,Indiana Pacers,Memphis Grizzlies
2014-03-22,Miami Heat,New Orleans Pelicans
2014-03-22,Orlando Magic,Utah Jazz
2014-03-23,Brooklyn Nets,Dallas Mavericks
2014-03-23,Washington Wizards,Denver Nuggets
2014-03-23,Orlando Magic,Los Angeles Lakers
2014-03-23,Phoenix Suns,Minnesota Timberwolves
2014-03-23,Cleveland Cavaliers,New York Knicks
2014-03-23,Milwaukee Bucks,Sacramento Kings
2014-03-23,Atlanta Hawks,Toronto Raptors
2014-03-24,Phoenix Suns,Atlanta Hawks
2014-03-24,Houston Rockets,Charlotte Bobcats
2014-03-24,Indiana Pacers,Chicago Bulls
2014-03-24,Milwaukee Bucks,Los Angeles Clippers
2014-03-24,Minnesota Timberwolves,Memphis Grizzlies
2014-03-24,Portland Trail Blazers,Miami Heat
2014-03-24,Brooklyn Nets,New Orleans Pelicans
2014-03-24,Denver Nuggets,Oklahoma City Thunder
2014-03-24,Philadelphia 76ers,San Antonio Spurs
2014-03-24,Detroit Pistons,Utah Jazz
2014-03-25,Toronto Raptors,Cleveland Cavaliers
2014-03-25,Oklahoma City Thunder,Dallas Mavericks
2014-03-25,New York Knicks,Los Angeles Lakers
2014-03-25,Portland Trail Blazers,Orlando Magic
2014-03-26,Toronto Raptors,Boston Celtics
